,isbn,title,authors,published,description
618,9781420239645,VCE Accounting,['Neville Box'],2006,"This is an excellent textbook... Teachers can use (it) with confidence that their students will gain a good understanding of the concepts.... I would have no hesitation in recommending (it) to teachers and commend Neville Box for his vailuable contribution to the teaching of Accounting"""". Compak, Issue 3 2006This market leading textbook assists students acquire the skills and knowledge needed for success in VCE Accounting. The text is practical, easy to read and use. The clear and student-f"
619,9780008359850,Mandarin Chinese Visual Dictionary: a Photo Guide to Everyday Words and Phrases in Mandarin Chinese (Collins Visual Dictionary),['Collins Dictionaries'],2019-03-07,"Immerse yourself in this photographic guide to the key words and phrases in Chinese. This attractive book is perfect for travelling and provides a practical guide to Chinese language and culture. Everyday words are arranged in themes with carefully selected up-to-date images to illustrate key words and phrases, and a two-way index enabling you to find words quickly as you learn. All essential words and phrases for modern life in China are at your fingertips with topics covering home life, work and school environments, shopping, food and drink, sport and leisure, transport, technology, and the environment. Great care has been given to represent modern Chinese culture and enhance your experience of China and its people, including food and drink, customs, celebrations, and festivals."
620,9780730386889,The Wiggles Nursery Rhyme Favourites,['The Wiggles'],2012,Join in the fun as The Wiggles share some of their favourite nursery rhymes!
621,9780987052049,VCE Music Performance Music Language Essentials - Units 1 and 2 Teacher Edition,['Melinda Ceresoli'],2016-09-01,"Answer book for VCE Music Performance Music Language Essentials - Student Workbook, Units 1 and 2. Two CDs included, and audio tracks are also available online."
622,9780170385435,A Plus Business Notes,['Debra McNaughton'],2009,Business Notes VCE Units 3 & 4 is written to precisely match the 2010a 2014 VCE Business Management Study Design and has been designed to be the most comprehensive and easy to use study guide for students of VCE Units 3 & 4 Business Management
623,9780688048389,The Reckoning,['David Hamlet'],2006-03,David Hamlet's The Reckoning examines and answers how a vile individual such as Hitler could thrive on mass murder while maintaining a large group of followers.
624,9781925534702,HSC Year 12 Biology Topic Tests (2019+),,2018-07,
625,9781921813610,,,,
626,9780070318670,North American Cambridge Latin Course Unit 1 Student's Book,['University of Cambridge'],2015-07-31,The world's bestselling introductory Latin course.
627,9781925778311,EAL Year 12,"['Melanie Napthine', 'Stella Louca', 'Michael Daniel']",2016,
628,9781875585038,Twentieth Century 2,['Penny Evans'],2015-06-30,Textbook for senior history students covering Twentieth Century History 1945-2000.
629,9781875585021,Twentieth Century 1,['Anthony Bidgood'],2015-06-30,Textbook for senior history students covering Twentieth Century History 1900-1945.
630,9787301171134,汉语过关,,2010,
631,9787513503365,Pocket Oxford Chinese Dictionary,"['Martin H. Manser', 'Yuan Zhu', 'Liangbi Wang', 'Yongchang Ren', 'Jingrong Wu']",2003,"Provides coverage of more than 88,000 words and phrases and 130,000 translations."
632,9787513503365,Pocket Oxford Chinese Dictionary,"['Martin H. Manser', 'Yuan Zhu', 'Liangbi Wang', 'Yongchang Ren', 'Jingrong Wu']",2003,"Provides coverage of more than 88,000 words and phrases and 130,000 translations."
633,9781108772907,Essential Mathematics for the Victorian Curriculum Year 10 and 10A Second Edition,,2019,
634,9781108705592,Back to the Basics Bulletin Board Set,['School Specialty Publishing'],2003-01-15,"Use these colorful punch-outs to decorate, teach and inspire! ~ Decorate, Laminate and attach to bulletin boards, doors, and walls in the classroom, Sunday school room, or other room in the church. Attach string to individual pieces and hang from a coat hanger or dowels as a mobile. ~ Teach, reinforce a lesson on the basics of the Christian life by using a five category peices. Encourage students to look up the Scripture verses. Attach the two large pieces together and display to inspire young and old alike to get back to the basics of a life in Christ."
635,9781108735438,Cambridge Vce Business Management Units 3&4 Second Edition,,2019,
636,9781488619489,Heinemann Media 1,"['Roger Dunscombe', 'Melinda Anastasios-Roberts', 'Juliet Francis', 'Karen Koch', 'George Lekatsas', 'Nick Ouchtomsky']",2004-01,"""... approach to the final year of schooling in media ... based on the Victorian Certificate of Education (VCE) Media area of study. However, as a text it is not study specific ...""--P. vii."
637,9781488611223,Heinemann Biology 1,['Caroline Cotton'],2016,
638,9780730329374,Senior Geography for Queensland,['Meyer'],2009-01-29,"The second edition of the Senior Geography for Queensland 2 series has been specifically written for the 2007 syllabus in Senior Geography. Book 2 presents Themes 3 and 4 from the syllabus, covering the syllabus focus units as well as elective units. A GIS disk accompanies the text to assist in the requirement that students experience spatial technologies. Senior Geography for Queensland 2 2E eBookPLUS is an electronic version of the textbook available online at the JacarandaPLUS website. (www.jacplus.com.au) Senior Geography for Queensland 2 2E eBookPLUS Features The entire textbook in electronic format HTML links to other useful support material on the Internet What is eBookPLUS? eBookPLUS gives students access to engaging digital support. This gives 24/7 access to the on-line text along with a wealth of ICT resources making student learning more engaging! eBookPLUS can also be purchased independently of the text. JacarandaPLUS is the online home of all our digital resources for teachers and students and is available to access at www.jacplus.com.au"
639,9780730371854,"Jacaranda Key Concepts in VCE Health and Human Development, Units 1 and 2","['Andrew Beaumont', 'Fiona Alderson', ""Lisa O'Halloran"", 'Kim Weston']",2019-10-14,
640,9780730371557,"Jacaranda Key Concepts in VCE Health and Human Development, Units 3 and 4","['Andrew Beaumont', 'Meredith Fettling']",2019-11,
641,9780730373643,Chemistry 1 VCE Units 1 and 2 and EBookPLUS,['Neale Taylor'],2015-09-14,
642,9780730373902,Jacaranda Chemistry 2 VCE Units 3 and 4 2E LearnON and Print + StudyON,"['Neale Taylor', 'Angela Stubbs', 'Robert Stokes', 'Wan Ng', 'Maida Derbogosian']",2019-11-18,"Jacaranda Chemistry 2 VCE Units 3 & 4, 2nd Edition, learnON & Print + studyON This combined print and digital title provides 100% coverage of the VCE Study Design for Chemistry. The textbook comes with a complimentary activation code for learnON, the powerful digital learning platform making learning personalised and visible for both students and teachers. The latest editions of the Jacaranda Chemistry VCE series include these key features: Explicitly structured to the VCE Chemistry Study Design (2016-2021), with content aligned to all the key knowledge and key skills In learnON, you get greater visibility into student progress and performance, allowing you to easily tailor lesson plans and create custom tests Tailored exercise sets at the end of every subtopic, providing students the opportunity to test their knowledge Detailed topic and Area of Study reviews, providing students with opportunities for revision with key concept summaries, key terms, investigation and an extensive range of questions and an offline printable studyON booklet with past VCE questions New printable Practical Investigation logbook, with teacher-led videos A dedicated topic designed to enhance skills in scientific methodology with links to, conducting practical investigations and communicating through scientific reports Enhanced teacher support, including; Work programs, curriculum grids and teaching advice Practical investigation support, with laboratory information, risk assessment, expected results and demonstrative videos Quarantined tests and SACs complete with worked solutions, exemplary responses and marking rubics learnON provides visibility into student progress and performance, allowing you to customise lessons, tests and assessments For teachers, learnON includes additional teacher resources such as quarantined questions and answers, curriculum grids and work programs."
643,9781420239645,VCE Accounting,['Neville Box'],2006,"This is an excellent textbook... Teachers can use (it) with confidence that their students will gain a good understanding of the concepts.... I would have no hesitation in recommending (it) to teachers and commend Neville Box for his vailuable contribution to the teaching of Accounting"""". Compak, Issue 3 2006This market leading textbook assists students acquire the skills and knowledge needed for success in VCE Accounting. The text is practical, easy to read and use. The clear and student-f"
644,9781922259011,Nĭ Hăo,"['Shumang Fredlein', 'Paul Fredlein']",2009,Ni Hao is a complete Chinese language course for beginning students of upper primrary to senior secondary schools. There are five levels in the series. (Back cover).
645,9781922259011,Nĭ Hăo,"['Shumang Fredlein', 'Paul Fredlein']",2009,Ni Hao is a complete Chinese language course for beginning students of upper primrary to senior secondary schools. There are five levels in the series. (Back cover).
646,9780730389422,Jacaranda Key Concepts in VCE Business Management Units 1&2 6e LearnON and Print and StudyON,"['Stephen J. Chapman', 'Vladimir Dumovic', 'Matthew Richardson', 'Graeme Smithies']",2021-01-06,
647,9780730382133,Macquarie Concise Dictionary Seventh Edition,['Macquarie Dictionary'],2017-03-28,"This Macquarie Concise Dictionary Seventh Edition provides an up-to-date reference of Australian English, with wide coverage to meet the needs of the general dictionary user. Based on the comprehensive Macquarie Dictionary Seventh Edition, this volume includes words and meanings which are particular to our variety of English, as well as those common to the whole English-speaking world, with evidence sourced from corpus data. The Macquarie Concise Dictionary includes: · hundreds of new words and definitions such as Bechdel test, fat-shame, freecycle, lane filtering, robopoll · words relating to technology, the internet and social media, such as big data, cyberwarrior, digital tattoo, domotics, dox, listicle, live-tweet, smart buoy · words and phrases from regional Australia, such as early minute, four-pointer, mufti day, Stobie pole · illustrative phrases which clearly show how a word is used in context · valuable usage notes · etymologies (word origins)"
648,9781108772853,Essential Mathematics for the Australian Curriculum Year 10 2ed Teacher Support Print Option,"['David Greenwood', 'Emeritus Professor of Antimicrobial Science David Greenwood', 'David Robertson', 'Sarah Woolley', 'Jenny Goodman', 'Jenny Vaughan']",2015-11-19,
649,9781108772907,Essential Mathematics for the Victorian Curriculum Year 10 and 10A Second Edition,,2019,
650,9781458650504,Focus on English 9 Student Book,"['Rex Kevin Sadler', 'Winter, Viv', 'Sandra Sadler']",2016-02-03,
651,9798708474995,,,,
652,9781488625855,Quoi de Neuf ? 3+4 Student Book with EBook,"['Judy Comley', 'Prue Clarke', 'Annabel Gassmann', 'Beatrice Vanderstichele', 'Nathalie Marchand']",2019-11-18,"Quoi de Neuf ? 1-4, 2nd Edition Student Books for Years 7-10 were revised based on teacher feedback and are aligned with the latest Australian Curriculum: Languages - French (Year 7 entry), Victorian Curriculum for the AC, Western Australian Curriculum for the AC and the NSW Syllabus for the AC. Student Books are up-to-date, relevant to students, helping them build communication, intercultural and viewing skills, and offer new insights into the Francophone cultures and communities. Students are motivated and learn to become independent learners and communicators whilst using intercultural, investigating and critical thinking skills. They get the opportunity to use French in immersion learning context with the CLIL/extension pages material at the back of each student book. Quoi de Neuf ? 3+4, each unit includes additional pages of reading and tasks material which encourage critical thinking and higher order thinking. Quoi de Neuf ? 1-4, 2nd Edition eBooks allow students and teachers to interact with the Student Books content and much more, both online and offline. Access to audio tracks, worksheets, grammar learning animations, interactive games and modelling and fun videos that can be used in many different ways. For example, grammar animations may be used in class (whole class or assigned to individuals), at home for flipped learning, or as catch up lessons or revision material, and are a great way to discover or revisit language points in a different way."
653,9780730389422,Jacaranda Key Concepts in VCE Business Management Units 1&2 6e LearnON and Print and StudyON,"['Stephen J. Chapman', 'Vladimir Dumovic', 'Matthew Richardson', 'Graeme Smithies']",2021-01-06,
654,9780195505375,Raising Finance,['Paul Barrow'],2004,"This accessible, practical guide helps anyone through the financial maze of starting up a business, growing it, and even eventually selling it. Barrow highlights key issues by using case studies of several businesses - both successes and failures - as each grows and takes on different forms of finance."
655,9780571056866,Lord of the Flies,['William Golding'],1954,First published 1954.; This title is also available as a film.
656,9780573040191,The Woman in Black,['Susan Hill'],2011-10-18,"The classic ghost story from the author of The Mist in the Mirror: a chilling tale about a menacing spectre haunting a small English town. Now a major motion picture starring Daniel Radcliffe. Arthur Kipps is an up-and-coming London solicitor who is sent to Crythin Gifford—a faraway town in the windswept salt marshes beyond Nine Lives Causeway—to attend the funeral and settle the affairs of a client, Mrs. Alice Drablow of Eel Marsh House. Mrs. Drablow’s house stands at the end of the causeway, wreathed in fog and mystery, but Kipps is unaware of the tragic secrets that lie hidden behind its sheltered windows. The routine business trip he anticipated quickly takes a horrifying turn when he finds himself haunted by a series of mysterious sounds and images—a rocking chair in a deserted nursery, the eerie sound of a pony and trap, a child’s scream in the fog, and, most terrifying of all, a ghostly woman dressed all in black. Psychologically terrifying and deliciously eerie, The Woman in Black is a remarkable thriller of the first rate."
657,9780194776189,American English File 4: Student Book with Online Practice,"['Christina Latham-Koenig', 'Clive Oxenden']",2014-10-16,"Four-skills American English course with a communicative methodology, engaging texts, and a strong pronunciation syllabus - designed to get students speaking. With texts and topics that make learners want to speak, American English File is the course that gets students talking. It gives you full skills coverage with a clear focus on pronunciation, plus wide-ranging support and resources too. Resources include Test Generator CD-ROMs, DVDs, Multi-ROMs, and websites. The highly popularteacher's site has extra lesson ideas and resources for you to download."
658,9780008377380,Portuguese-English Visual Bilingual Dictionary,['Norma de Oliveira Tait'],2010-05-03,"Look and learn to recall a wealth of everyday vocabulary in Portuguese with this intuitive easy-to-use visual language dictionary Whether it's for business or pleasure, pick up 6,000 key Portuguese words and phrases on a range of subjects: from shopping and eating out, to sport and beyond quickly and easily. Find every word you need to know fast using the clearly labelled illustrated scenes from everyday life. Plus, find helpful features on key Portuguese nouns, verbs and phrases to improve your understanding of the language. Take it wherever your travels take you."
659,9781488615078,Pearson Science 9 Activity Book,"['Greg Rickard', 'Warrick Clarke']",2016-11-28,"The Pearson Science Second Edition Activity Book is a write-in resource designed to develop and consolidate students' knowledge and understanding of science by providing a variety of activities and questions to apply skills, reinforce learning outcomes and extend thinking. Updated with explicit differentiation and improved learner accessibility, it provides a wide variety of activities to reinforce, extend and enrich learning initiated through the student book."
660,9780521004305,Cambridge Latin Course Unit 2 Student Text North American edition,['North American Cambridge Classics Project'],2001-05-07,"The Fourth Edition Cambridge Latin Course is an introductory program organized into four well-integrated units. Cambridge's proven approach includes a stimulating continuous story line, interwoven grammatical development and cultural information, supportive illustrations and photographs, and a complete Language Information section. Reading is the heart of the Cambridge Latin Course, and all the elements of the program - illustrations, vocabulary, grammar and syntax, cultural contexts and references, activities - are carefully introduced and arranged to provide students with the skills they need to read with comprehension and enjoyment from the very first page. Student Book The most effective tool for students and teachers of Latin! A continuous and motivating story line captures and holds students' imagination. . . The logical pattern of each Stage and careful integration among Stages and Units train students to read Latin with ease and to understand the culture of the Romans. . . Clear language explanations and examples and ample practice insure student mastery of Latin. . . And rich illustrations bring the works and experiences of the Romans to life."
661,9780521894708,Cambridge Latin Course Unit 3 Student Text North American edition,['North American Cambridge Classics Project'],2002-07-22,"The North American Cambridge Latin Course is a well-established four-part Latin program whose approach combines a stimulating, continuous storyline with grammatical development, work on derivatives, and cultural information. There is also a complete Language Information section, plus numerous color photographs illustrating life in the Roman world. The Course has now been fully revised and updated in the light of feedback from user schools, and includes the very best in new research. The Fourth Edition continues to offer teachers and students alike a stimulating, reading-based approach to the study of Latin."
662,9780435389215,The Story of Inventions,"['Catherine Barr', 'Steve Williams']",2020-03-03,"This brilliant book introduces 15 of the world’s most incredible inventions to children. Using bitesize text and beautifully bright illustrations this is the perfect book for science and history lovers everywhere. The world is brimming full of incredible inventions - but where did it all begin? How did these incredible inventions come about? Journey back in time, travel across the world and discover incredible inventions from throughout history. Take a ride on the very first wheel, find your way and ensure you'll never get lost again with the compass, let the lights come on with electricity, watch as the world puffs into life with the steam engine and many more astounding inventions. Written with bite sized pieces of text and illustrated with bright and engaging artwork, this is the perfect introduction to some of the most amazing inventions that have helped make history. Learn fascinating facts about the people behind these inventions and how their discoveries changed the world forever. So what are you waiting for? Let's uncover The Story of Inventions! Inventions featured: The wheel, the compass, paper, clocks, gunpowder, steam engines, vaccinations, computers, electricity, the telephone, the car, planes, plastic, nuclear weapons and the internet."
663,9780170177900,"Nelson Textiles Technology 9, 10","['Christine Castle', 'Lynda Peters']",2010,"Nelson Textiles Technology TRB is packed with resources: BLMs, solutions, templates, and much more. It provides supplementary resources, activities, solutions, and pays close attention to detail. It is packed with contemporary and innovative content and will inspire and enrich studentsa Textiles knowledge. Carefully developed to promote deep understanding and the acquisition of essential skills and knowledge, Textiles Technology will actively engage students of all abilities and learning styles. Some of the key features include: a Student activities with step by step instructions a Innovative student activities with different learning styles a Covers all syllabus content a Solutions on the teacher CD a Colour images for clearer understanding a Lots of templates and rubrics"
664,9781742163505,Artwise 2,['Glenis Israel'],2010,"This new edition of Artwise 2: Visual Arts 9-10, 2nd Edition is specifically written for Stage 5 Visual Arts in New South Wales. It provides a stimulating resource for students in Years 9 and 10, with a broad range of Australian and international artists, and a balance of traditional and contemporary examples. Artists' studies are organised in four sections: The Frames, Conceptual Framework, Contemporary Artists' Practice and Historical Art Periods/Styles. Features and content in each artists' study are designed to: ? consolidate students' understanding of the frames ? further develop students' understanding of the Conceptual Framework and the relationships that are most relevant in the artworld ? provide insights into artmaking practice through artists' statements and descriptions of techniques, media and ideas ? develop skills in interpreting and writing about art, with descriptions of artworks and introductions to artists (Critical study and Historical study), extracts of thought-provoking art critical and art historical writing (Critical practice and Historical practice), and a range of student activities (eg, Studying art, Artmaking). Artwise 2, Second Edition is now fully supported by eBookPLUS. Artwise 2, Second Edition eBookPLUS is an electronic version of the textbook and a complementary set of targeted digital resources. The eBookPLUS features weblinks, interactive vocabulary builders, and eLessons that pair video and audio interviews with related worksheets. These flexible and engaging ICT activities are available online at the JacarandaPLUS website (www.jacplus.com.au). Click here to view Artwise 2: Visual Arts 9-10, 2nd Edition eBookPLUS."
665,9781548635787,Modern Revolutions,['Johnn Dunn'],1972-03-09,An examination of eight major revolutions of the twentieth century. Copyright © Libri GmbH. All rights reserved.
666,9780869470145,Master Your Theory,['Dulcie Holland'],1994,
667,9780007485505,Practice Makes Perfect: Complete Italian All-in-One,['Marcel Danesi'],2019-12-27,"Get six times the language-learning expertise for the price of one book! More than two million students have turned to the Practice Makes Perfect series for a trusted guide to help build their language-learning skills. And, now this bestselling brand offers you all of the tools you need to improve your Italian in one value-packed workbook. Featuring six titles in one volume, Practice Makes Perfect: Complete Italian All-in-One provides a solid foundation of verbs, vocabulary and grammar, and conversational structures. This one-stop resource includes thorough explanations that are reinforced by hundreds of hands-on practice exercises to help you build the skills you communicate in Italian with confidence. A comprehensive index makes it easy to reference all grammar explanations throughout the book. This comprehensive program also offers you extensive support through McGraw-Hill Education’s unique Language Lab app. You’ll find flashcards sets for all vocabulary lists throughout the book as well as audio recordings for conversation practice. Practice Makes Perfect: Complete Italian All-in-One features: • Six titles in one convenient volume: Complete Italian Grammar; Italian Conversation; Italian Verb Tenses; Italian Sentence Builder; Italian Pronouns and Prepositions; and Italian Vocabulary • An integrated approach that allows you to study at your own level and develop language skills at your own pace • Extensive digital support available via the McGraw-Hill Education Language Lab app • Digital flashcards for all vocabulary lists throughout the book • Streaming audio recordings for conversation practice"
668,9780195553116,Study Indonesian Dictionary,['Albert Tan'],2006,"The only Indonesian dictionary available specially designed for use in schools now contains an Indonesian Life and Culture section at the rear. Over 75,000 words, phrases and translations, and an updated map to reflect recent geo-political changes. Colour headwords for faster and easier use tohelp with grammar. Expressions and idioms are highlighted and a 22 page supplement with System of Affixation and Pronunciation guide is included."
669,9781599829234,The Catholic Youth Bible,['Brian Singer-Towns'],2012-01-01,"There's Only One! . . . And it just got better! The Catholic Youth Bible New American Bible Revised Edition (NABRE) contains the new translation of the Old Testament and the new Roman Missal changes. The Catholic Youth Bible will be a true companion, helping you find the answers you seek and helping you make connections to Catholic beliefs and traditions. Over 700 lively articles help you…. • Pray It! Use the Bible for personal prayer. • Study It! Understand and make sense of what the Bible says. • Live It! Apply the Bible to real-life situations you're facing now. This New Edition Features: •New 40 expanded ""Catholic Connection"" articles that provide a more complete presentation of those Catholic teachings that are scripturally based • New 28 articles that address the seven principles of Catholic social teaching • New 40 pages of 4-color inserts that help you pray, study, and live the Bible and Catholic teachings • New Illustrations throughout to provide a visual context for the biblical stories • New Over 275 articles updated to reflect contemporary issues and biblical scholarship Plus: • Introductions to the major sections of the Bible and all the books of the Bible • Biblical connections to many different cultures, illustrating the universality of the Catholic Church • Insights into how the Church has interpreted key Scripture passages throughout history • A glossary of Scripture-related terms • Five special indexes; Sunday readings for cycles A, B, and C; 10 color maps; a four-page color timeline; and three pages of full-color biblical art"
670,9781740850810,Katzensprung 3,,2005,
671,9780170129657,おべんとう,"['Ayako Fukunaga', 'Kyoto Kusumoto']",2009,"Obento is a fully integrated course in three stages, written specifically for secondary students learning Japanese. Obento Supreme is the second level of this highly popular series. Obento Supreme is a concise and engaging textbook and workbook with a lot of digital interactive material. Obento Supreme provides continuity between Obento Deluxe and Obento Senior and increases the level of language difficulty manageably. The completely revised Obento Supreme Workbook is the necessary accompaniment to the Student Book. The revised edition offers all the exercises and tasks that have made the Workbook so famous so far, plus two additional CDs. The third edition offers two CDs: a 1 digital wordfinder: an audio-digital dictionary to find word definitions from Japanese-English-Japanese and learn how to pronounce them correctly a 1 video DVD, including voice recognition software, 12 video clips with native speakers and real-world scenarios and interactive activities to practise Japanese The workbook also comes with free Kanji Flashcards, call us to receive your free set!"
672,9781925485592,The Taming of the Shrew,"['A. Coleman & A. Thomas', 'Shane Barnes', 'Aidan Coleman']",2011-10-01,"SLY. I'll pheeze you, in faith. HOSTESS. A pair of stocks, you rogue SLY. Y'are a baggage; the Slys are no rogues. Look in the chronicles: we came in with Richard Conqueror. Therefore, paucas pallabris; let the world slide. Sessa HOSTESS. You will not pay for the glasses you have burst? SLY. No, not a denier. Go by, Saint Jeronimy, go to thy cold bed and warm thee."
673,9780195505375,Raising Finance,['Paul Barrow'],2004,"This accessible, practical guide helps anyone through the financial maze of starting up a business, growing it, and even eventually selling it. Barrow highlights key issues by using case studies of several businesses - both successes and failures - as each grows and takes on different forms of finance."
674,9780195522167,Geography,"['Mark Easton', 'Geraldine Carrodus', 'Tim Delany', 'Bernie Howitt', 'Richard Smith']",2014,"The obook is a cloud-based web-book available anywhere, anytime, on any device, navigated by topic or by â_~page viewâ_T. assess is an indispensable online assessment tool, explicitly mapped to the Australian Curriculum that drives student progress through tailored instruction. As well as containing the student text and study tools, this obook offers virtual case studies including interactive maps, videos and other interactives.Your activation code is printed on a card which will be mailed to you; this will incur a postage cost. Oxford Big Ideas Geography|History Australian Curriculum provides complete coverage of Australian Curriculum: Geography and Australian Curriculum: History across Years 7 to 10. Each level is packaged in a way that:supports the full delivery of all course content within the available class timeenables teachers to adopt a semesterised approach or deliver discrete year-long coursesprovides interim Civics & Citizenship and Commerce units for schools (in digital format only), until final ACARA syllabus is released."
675,9781108772853,Essential Mathematics for the Australian Curriculum Year 10 2ed Teacher Support Print Option,"['David Greenwood', 'Emeritus Professor of Antimicrobial Science David Greenwood', 'David Robertson', 'Sarah Woolley', 'Jenny Goodman', 'Jenny Vaughan']",2015-11-19,
676,9781107615403,Romeo and Juliet,['William Shakespeare'],2014-01-20,"An improved, larger-format edition of the Cambridge School Shakespeare plays, extensively rewritten, expanded and produced in an attractive new design. An active approach to classroom Shakespeare enables students to inhabit Shakespeare's imaginative world in accessible and creative ways. Students are encouraged to share Shakespeare's love of language, interest in character and sense of theatre. Substantially revised and extended in full colour, classroom activities are thematically organised in distinctive 'Stagecraft', 'Write about it', 'Language in the play', 'Characters' and 'Themes' features. Extended glossaries are aligned with the play text for easy reference. Expanded endnotes include extensive essay-writing guidance for 'Romeo and Juliet' and Shakespeare. Includes rich, exciting colour photos of performances of 'Romeo and Juliet' from around the world."
677,9780194038355,English File,,2020,
678,9787561918111,Cambridge Igcse Biology,['Dave Hayward'],2014-11-28,"With a wealth of questions, this book gives your students the practice they need to deepen their understanding of the syllabus content and achieve exam success. - The perfect resource to use throughout the course to ensure you learn the topics and practice the syllabus content. - Contains a wealth of levelled questions, including Stretch and Challenge for higher ability students. - Plenty of exam-style questions and actual exam questions from past Cambridge exam papers for exam success. Answers to all questions are available on the accompanying Teacher's CD. This title has not been through the Cambridge International endorsement process."
679,9781118489291,Geography Alive 10 for the Australian Curriculum,"['Jill Price', 'Denise Miles']",2013,
680,9787561918104,新实用汉语课本,['珣·刘'],2002,"Ideal for: Beginning. Compiled under the sponsorship of the China National Office for Teaching Chinese as a Foreign Language (NOTCFL) and in consultation with the Chinese Proficiency Test (HSK) Guidelines, the New Practical Chinese Reader (NPCR) series is designed to help native English speakers easily learn Chinese. Based on the time-tested Practical Chinese Reader (PCR), the entirely revised and updated NPCR combines the grammatical strengths of the old PCR with contemporary material and more emphasis on learning to use Chinese in everyday conversation. NPCR consists of 70 lessons in six volumes, covering beginning to intermediate levels, for three years of instruction. Features include balanced training in speaking, pronunciation, grammar, and vocabulary; gradual increases in difficulty, and a cyclical approach to learning with constant review of language structures, functions, and cultural knowledge; an abundance of practice material suitable for students to use inside and outside the classroom; and a new, systematic approach to the teaching of Chinese characters. Students first learn the fundamental rules of Chinese script and basic strokes, and then progress to simple characters that form the foundation for mastering multi-component words."
681,9781118489291,Geography Alive 10 for the Australian Curriculum,"['Jill Price', 'Denise Miles']",2013,
682,9781118489291,Geography Alive 10 for the Australian Curriculum,"['Jill Price', 'Denise Miles']",2013,
683,9780170196895,Obento Deluxe,"['Anne Fisher', 'Sue Xouris', 'Ayako Fukunaga', 'Kyoko Kusumoto', 'Jacqueline Brown']",2013,"The new editions of the Obento series have been updated in response to teachersa feedback and changing emphases in the curriculum and technology. Now supported by a suite of digital resources, including the NelsonNetBook, the best loved features have been continued, with an innovative and logical methodology for introducing script, rich video and audio resources, and an emphasis on intercultural understanding and language learning. Obento is a fully integrated course in three stages, written specifically for secondary students learning Japanese. Obento Deluxe is the first level in the new edition of this highly popular series. The expert author team of Peter Williams, Sue Xouris and Kyoko Kusumoto bring their expertise, creativity and humour to this comprehensive resource. This completely revised Workbook offers a wealth of consolidating and reinforcing exercises to revise language and structures, plus: a CD of audio tracks needed to complete the listening tasks in class or at home a DVD of cultural videos as well as the unit theme videos (with and without subtitles) that exemplify the language covered in the Student Book."
684,9780170196826,Obento Deluxe,"['Anne Fisher', 'Sue Xouris', 'Ayako Fukunaga', 'Kyoko Kusumoto', 'Jacqueline Brown']",2013,"The new editions of the Obento series have been updated in response to teachersa feedback and changing emphases in the curriculum and technology. Now supported by a suite of digital resources, including the NelsonNetBook, the best loved features have been continued, with an innovative and logical methodology for introducing script, rich video and audio resources, and an emphasis on intercultural understanding and language learning. Obento is a fully integrated course in three stages, written specifically for secondary students learning Japanese. Obento Deluxe is the first level in the new edition of this highly popular series. The expert author team of Peter Williams, Sue Xouris and Kyoko Kusumoto bring their expertise, creativity and humour to this comprehensive resource. This completely revised Workbook offers a wealth of consolidating and reinforcing exercises to revise language and structures, plus: a CD of audio tracks needed to complete the listening tasks in class or at home a DVD of cultural videos as well as the unit theme videos (with and without subtitles) that exemplify the language covered in the Student Book."
685,9780141393056,Animal Farm,['George Orwell'],2013,"'The Seven Commandments Whatever goes upon two legs is an enemy. Whatever goes upon four legs, or has wings, is a friend. No animal shall wear clothes. No animal shall drink alcohol. No animal shall kill any other animal. All animals are equal. All animals are equal but some are more equal than others.'"
686,9780195528350,English Skills Builder 2,"['Mary Manning', 'Margaret McKenzie', 'Michael Horne']",2013,"The Australian Curriculum edition of the English Skills Builder series sees these best-selling skills resources fully revised to address the three English strands of Language, Literacy and Literature. Designed to complement any English program, this series will teach and reinforce the skills that students need at junior secondary level. Each workbook is divided into 50 units, and content explores different aspects of language use as well as different text types and genres. The English Skills Builder series are now accompanied by digital obooks for the first time. The obook is a cloud-based web-book available anywhere, anytime, on any device, navigated by topic or by 'page view'. As well as containing the student text, the obook offers additional Enriching Literature units focusing on texts relevant to the cross-curriculum priorities, as well as popular classic and contemporary texts.For all related titles in this series, please click here"
687,9781488624124,IiTomo 3+4 Activity Book,"['Yoshie Burrows', 'Naoko Abe', 'Yoko Nishimura-Parke']",2018-12-06,"The write-in iiTomo 1-4 Second Edition Activity Books cater for a variety of learning styles, offering opportunities to practise and reinforce key skills and learning. Updated engaging activities offer even more support and differentiated learning opportunities whilst allowing students to track their progress for deeper motivation."
